bin_lo,bin_hi,bin_center,count
-0.07113,-0.03560,-0.05337,25
-0.03560,-0.00008,-0.01784,36
-0.00008,0.03545,0.01769,17
0.03545,0.07098,0.05322,36
0.07098,0.10651,0.08874,76
0.10651,0.14203,0.12427,43
0.14203,0.17756,0.15980,25
0.17756,0.21309,0.19532,11
0.21309,0.24862,0.23085,24
0.24862,0.28414,0.26638,37
0.28414,0.31967,0.30191,37
0.31967,0.35520,0.33743,21
0.35520,0.39072,0.37296,14
0.39072,0.42625,0.40849,10
0.42625,0.46178,0.44402,17
0.46178,0.49731,0.47954,21
0.49731,0.53283,0.51507,33
0.53283,0.56836,0.55060,33
0.56836,0.60389,0.58612,25
0.60389,0.63941,0.62165,19
0.63941,0.67494,0.65718,38
0.67494,0.71047,0.69271,48
0.71047,0.74600,0.72823,53
0.74600,0.78152,0.76376,65
0.78152,0.81705,0.79929,103
0.81705,0.85258,0.83481,136
0.85258,0.88811,0.87034,116
0.88811,0.92363,0.90587,177
0.92363,0.95916,0.94140,258
0.95916,0.99469,0.97692,399
