module,layer,loading
Q,0,-0.005705613683577693
Q,1,-0.025374178991191654
Q,2,-0.013190858566371373
Q,3,0.00462393130179015
Q,4,0.004893108859787224
Q,5,0.003252360458727039
Q,6,-0.01160150396805489
Q,7,0.0891269201370208
Q,8,0.09482144300875499
Q,9,0.07512417799271028
Q,10,-0.06614437008923135
Q,11,-0.08082964331156227
Q,12,-0.14886503935192355
Q,13,-0.12618505607329228
Q,14,-0.1355922227122727
Q,15,-0.15485647501895133
K,0,-0.008880146465075392
K,1,0.0019187732014228035
K,2,0.008082263060955419
K,3,-0.01843744703265629
K,4,-0.007363171594364341
K,5,-0.00045603752255160643
K,6,-0.004199984264489668
K,7,-0.004750516799431232
K,8,-0.02428659292515121
K,9,0.009037898828765604
K,10,-0.01767555154037783
K,11,-0.05704859481510463
K,12,-0.05025786249778523
K,13,-0.05616481157700001
K,14,-0.058937801471091435
K,15,-0.08831456352127895
V,0,-0.007489516897316362
V,1,-0.013161089083760775
V,2,-0.015411467798415549
V,3,-0.02619968663107144
V,4,-0.028294906823572843
V,5,-0.0016630847526378045
V,6,0.0017696552519404429
V,7,-0.004382108606468939
V,8,-0.039164902469624646
V,9,-0.018503694369783896
V,10,-0.017975273088501886
V,11,-0.07016247874078628
V,12,-0.06467622389972257
V,13,-0.021961516718092895
V,14,-0.05605910797627704
V,15,-0.07028236749397819
O,0,-0.0015661502075048875
O,1,-0.041192188059926145
O,2,-0.0034809486668308776
O,3,-0.007705830379761659
O,4,0.010943911501490985
O,5,-0.02605378643736753
O,6,0.026469247352149373
O,7,0.032956237204341654
O,8,-0.004637523654964863
O,9,-0.015613288777331306
O,10,-0.007135002311462432
O,11,-0.06344379321695762
O,12,-0.08063217030860094
O,13,-0.08698849979473387
O,14,-0.09398336181692399
O,15,-0.10631090953711043
gate,0,-0.02207183576182423
gate,1,-0.029958194909198852
gate,2,-0.040844406735579084
gate,3,-0.00465799502755248
gate,4,0.08338386883933295
gate,5,-0.05655383170754255
gate,6,0.11676653761219623
gate,7,0.17881290449005782
gate,8,0.1382618848403048
gate,9,0.027655584212694293
gate,10,-0.025694828054460817
gate,11,-0.08883421123982876
gate,12,-0.021901495418740542
gate,13,-0.09866723644996099
gate,14,-0.024811186135408305
gate,15,-0.03371589850887997
up,0,-0.011359428073084802
up,1,-0.016006317590079193
up,2,-0.03511078478147658
up,3,0.045777713959010785
up,4,0.051969666495972656
up,5,0.12368901604721792
up,6,0.0705328663499925
up,7,0.11871008344613238
up,8,0.04589960114452861
up,9,0.2702178356715813
up,10,-0.02754965661067824
up,11,-0.1320102756627675
up,12,0.030766686578255032
up,13,0.06319461749336532
up,14,-0.14673778353886172
up,15,0.0014508012975122018
down,0,-0.051607903740484344
down,1,0.24861629368087182
down,2,0.043383856620912785
down,3,0.08416996010541705
down,4,0.2409700020763069
down,5,0.27439326015004506
down,6,0.3173500195207838
down,7,0.2710571599223076
down,8,0.15975585257049948
down,9,0.1722205072410061
down,10,0.10521018328530644
down,11,-0.04892292840427772
down,12,-0.07593184793884165
down,13,-0.14271442773645726
down,14,-0.18410398118750965
down,15,-0.1704309261851102
