pc,var_ratio
1,0.9158644426018799
2,0.02563255929756795
3,0.01570219657138032
4,0.008460510331784233
5,0.005879845748236542
6,0.004510246962898857
7,0.0035852614766358278
8,0.0028882459650160044
9,0.0021865638025606393
10,0.002049093178095087
11,0.0016306263644093278
12,0.0014982683503616157
13,0.0012026364611494806
14,0.0011061531395351383
15,0.0007497748229263136
16,0.0006721217490144286
17,0.0006028104153850814
18,0.0005714706668540606
19,0.0004775792825091568
20,0.0004625361831822332
21,0.0004090160478889611
22,0.0003361963477297519
23,0.00033003361267881857
24,0.0003018009790119534
25,0.00028344714820941803
26,0.0002719618036064642
27,0.00021340099826498365
28,0.00018690494368704607
29,0.00016613145664711823
30,0.00015382049359383455
31,0.00014728705993997645
32,0.0001243855489130869
33,0.00012051720239888591
34,0.00011135837392243192
35,0.00010777430377060348
36,0.00008502234008536055
37,0.00007885447067084513
38,0.0000778046989901206
39,0.00007431588533152532
40,0.00006962046490452285
41,0.0000683467812615663
42,0.000054940970506674115
43,0.0000523633145944352
44,0.000048336037373736145
45,0.00004487536093252562
46,0.00004075800668674681
47,0.00003672312056223867
48,0.00003493064525504378
49,0.000033726549249113586
50,0.000028072143283574023
51,0.00002534080445328591
52,0.00002465921957780616
53,0.000019849966128691584
54,0.0000188010683505048
55,0.000017179427432693256
56,0.00001563147015387377
57,0.000012259462434095327
58,0.00001086213636075676
59,9.097054276702273e-6
60,7.893547718589837e-6
61,7.066523610702926e-6
62,5.68883816897238e-6
63,6.514231321847219e-33
