adapter_idx,pool,source,label,label_noise,shards_total,epochs,accuracy,f1_macro,nll,brier,auroc,mean_confidence,adapter_qname,error
0,test,parent,test-sst2-i000,0.0,256,2,0.875,0.8698457620218263,0.31882187701111786,0.09491916260662754,0.9624517507582023,0.8034651779575539,glad/sft-model-7eea728e:v0,
1,train,parent,train-sst2-i001,0.0,256,2,0.8925,0.8901422045291558,0.34975362878091254,0.1013144685357851,0.9586404661120032,0.7549137331082811,glad/sft-model-66a6398f:v0,
2,train,parent,train-sst2-i002,0.0,256,2,0.558,0.3581514762516046,0.7029797023087649,0.25676496535162535,0.8914473150716035,0.7712224683892975,glad/sft-model-5931c539:v0,
3,train,parent,train-sst2-i003,0.0,256,2,0.864,0.8609543439498781,0.5353335282991477,0.1737328211451984,0.9402064175546149,0.6034195587907675,glad/sft-model-b8d03656:v0,
4,test,parent,test-sst2-i004,0.0,256,2,0.8905,0.8892197962706527,0.45457521428027253,0.13868466489697506,0.956150460597804,0.6601197809833493,glad/sft-model-f0fd62e5:v0,
5,train,parent,train-sst2-i005,0.0,256,2,0.906,0.904603296869466,0.25303717504987,0.07168554926369952,0.9648763765224866,0.9412143127139536,glad/sft-model-96b65e62:v0,
6,train,parent,train-sst2-i006,0.0,256,2,0.874,0.8697809011988424,0.34366674507313255,0.10257468483941197,0.9551195891921698,0.77571966597694,glad/sft-model-166677f9:v0,
7,train,parent,train-sst2-i007,0.0,256,2,0.558,0.3581514762516046,0.8240125818868284,0.3011180093179462,0.8755798018131983,0.8395681416794623,glad/sft-model-65f5daf3:v0,
8,test,parent,test-sst2-i008,0.0,256,2,0.558,0.3581514762516046,0.7628112485749664,0.2803590304226117,0.8918411140303931,0.8123128861169104,glad/sft-model-975b1bd0:v0,
9,test,parent,test-sst2-i009,0.0,128,2,0.9055,0.9031583445610729,0.24511264614062697,0.07223219316272642,0.9679355406347816,0.8991255331341294,glad/sft-model-cb2ae893:v0,
10,train,parent,train-sst2-i010,0.0,128,2,0.915,0.9139396504329849,0.22322740873284566,0.0647853676873221,0.9697570508765956,0.9243673840797351,glad/sft-model-6bea376b:v0,
11,train,parent,train-sst2-i011,0.0,128,2,0.9045,0.9033623575132352,0.27215213423843654,0.07308200751302368,0.9642448790930763,0.9525615841498324,glad/sft-model-dd13b11d:v0,
12,train,parent,train-sst2-i012,0.0,128,2,0.91,0.9085481097910426,0.23886326744499586,0.06920454243032664,0.9666669707585267,0.9329112834964598,glad/sft-model-918fc570:v0,
13,test,parent,test-sst2-i013,0.0,128,2,0.897,0.8940450216076148,0.3289007226293155,0.08478247275400912,0.9624101915373263,0.9489502420703514,glad/sft-model-a765e51d:v0,
14,train,parent,train-sst2-i014,0.0,128,2,0.906,0.9040376662368779,0.25802504949831373,0.07295394192419392,0.9640685058142364,0.9181418792022796,glad/sft-model-1c2de3d6:v0,
15,train,parent,train-sst2-i015,0.0,128,2,0.8955,0.8938277606877726,0.3549274884769222,0.08391310098469906,0.9589572284662418,0.9656171390709524,glad/sft-model-dd93ea80:v0,
16,train,parent,train-sst2-i016,0.0,128,2,0.869,0.8650063477931114,0.5040027733579113,0.1598919237565829,0.9483550657649329,0.6263197147216515,glad/sft-model-8d3c9eac:v0,
17,test,parent,test-sst2-i017,0.0,128,2,0.853,0.8440152801358234,0.4939334123134646,0.1234228663041769,0.9553101534244799,0.9503115301666607,glad/sft-model-1ca2248a:v0,
18,test,parent,test-sst2-i018,0.48,32,2,0.5535,0.4074223502638231,0.686463542128772,0.24666319015409882,0.5240070387129211,0.5404347977963497,glad/sft-model-e8c7eed6:v0,
19,train,parent,train-sst2-i019,0.48,32,2,0.7425,0.7121939510992374,0.6318669148888796,0.2196787522480609,0.8821649110429945,0.5484246740587428,glad/sft-model-9af9afab:v0,
20,train,parent,train-sst2-i020,0.48,32,2,0.442,0.3065187239944521,0.7620164583043285,0.28334219966729585,0.4908149053666131,0.6321132029079516,glad/sft-model-322d3569:v0,
21,train,parent,train-sst2-i021,0.48,32,2,0.6985,0.6391683638619038,0.6016831896627332,0.20540795211720608,0.9230566502862517,0.586150946811118,glad/sft-model-fcd5b999:v0,
