module,module_key,layer,signed
Q,self_attn.q_proj,0,0.001674909705675039
Q,self_attn.q_proj,1,0.0043108476516291174
Q,self_attn.q_proj,2,0.0007793856400899715
Q,self_attn.q_proj,3,0.0005745684946037593
Q,self_attn.q_proj,4,0.0031352259701742627
Q,self_attn.q_proj,5,0.0018993016368339581
Q,self_attn.q_proj,6,0.005727113690261557
Q,self_attn.q_proj,7,0.0010194738258272927
Q,self_attn.q_proj,8,0.0073059878302641455
Q,self_attn.q_proj,9,0.0053238783400147436
Q,self_attn.q_proj,10,0.013570469296422144
Q,self_attn.q_proj,11,0.018310273509278715
Q,self_attn.q_proj,12,0.02934791419366851
Q,self_attn.q_proj,13,0.025999566941631688
Q,self_attn.q_proj,14,0.03141807737710524
Q,self_attn.q_proj,15,0.030131729233515907
K,self_attn.k_proj,0,0.002172256745637924
K,self_attn.k_proj,1,0.0028671595935774704
K,self_attn.k_proj,2,0.0014581490055986831
K,self_attn.k_proj,3,0.0026061914688595847
K,self_attn.k_proj,4,0.0025312295201639057
K,self_attn.k_proj,5,0.001266175178876611
K,self_attn.k_proj,6,0.001487532999272205
K,self_attn.k_proj,7,0.005557366035090928
K,self_attn.k_proj,8,0.006118833266403574
K,self_attn.k_proj,9,0.001951139615494905
K,self_attn.k_proj,10,0.00301226533055613
K,self_attn.k_proj,11,0.013563019948977016
K,self_attn.k_proj,12,0.010266123273985111
K,self_attn.k_proj,13,0.009928742660221927
K,self_attn.k_proj,14,0.012686571218877937
K,self_attn.k_proj,15,0.015194814453020887
V,self_attn.v_proj,0,0.002211584838373629
V,self_attn.v_proj,1,0.00261680154154051
V,self_attn.v_proj,2,0.0024566574342298423
V,self_attn.v_proj,3,0.00578477702361876
V,self_attn.v_proj,4,0.005576885557398703
V,self_attn.v_proj,5,0.003882576269936247
V,self_attn.v_proj,6,0.00030903960797408063
V,self_attn.v_proj,7,0.0015986663083956563
V,self_attn.v_proj,8,0.005625459695945354
V,self_attn.v_proj,9,0.0037421480040861193
V,self_attn.v_proj,10,0.005271508987196423
V,self_attn.v_proj,11,0.014233535900734706
V,self_attn.v_proj,12,0.01280826377251558
V,self_attn.v_proj,13,0.008330604513791707
V,self_attn.v_proj,14,0.012992469503543227
V,self_attn.v_proj,15,0.013304544287342604
O,self_attn.o_proj,0,0.002414292447163601
O,self_attn.o_proj,1,0.00786864556726848
O,self_attn.o_proj,2,0.0020330232937967123
O,self_attn.o_proj,3,0.0035650803988793826
O,self_attn.o_proj,4,0.002857316485231662
O,self_attn.o_proj,5,0.00914554202160994
O,self_attn.o_proj,6,0.008170807869466069
O,self_attn.o_proj,7,0.0041408032499229116
O,self_attn.o_proj,8,0.005451474160195861
O,self_attn.o_proj,9,0.006178032539493766
O,self_attn.o_proj,10,0.006893567790179472
O,self_attn.o_proj,11,0.013367951626162403
O,self_attn.o_proj,12,0.017875915361266658
O,self_attn.o_proj,13,0.01782977268281751
O,self_attn.o_proj,14,0.02100082591497646
O,self_attn.o_proj,15,0.018561932411264324
gate,mlp.gate_proj,0,0.005046887812954688
gate,mlp.gate_proj,1,0.00751466299588827
gate,mlp.gate_proj,2,0.009338425372376044
gate,mlp.gate_proj,3,0.008443224719026183
gate,mlp.gate_proj,4,0.0010640635515621112
gate,mlp.gate_proj,5,0.016800539788694373
gate,mlp.gate_proj,6,-0.002051296021390286
gate,mlp.gate_proj,7,-0.0016975309568991067
gate,mlp.gate_proj,8,-0.0033873645504843893
gate,mlp.gate_proj,9,0.0013859978370101811
gate,mlp.gate_proj,10,0.013342782415127393
gate,mlp.gate_proj,11,0.021708129170425496
gate,mlp.gate_proj,12,0.011507227323919199
gate,mlp.gate_proj,13,0.021487999252697038
gate,mlp.gate_proj,14,0.010027842484493224
gate,mlp.gate_proj,15,0.015833977093544872
up,mlp.up_proj,0,0.003145334383762904
up,mlp.up_proj,1,0.0059663988222484685
up,mlp.up_proj,2,0.00983124391284004
up,mlp.up_proj,3,0.002751662246125766
up,mlp.up_proj,4,0.0012100654815408495
up,mlp.up_proj,5,0.0006488544866928556
up,mlp.up_proj,6,0.002748416931258443
up,mlp.up_proj,7,-0.0006723046295003576
up,mlp.up_proj,8,0.009642416311245306
up,mlp.up_proj,9,-0.006331545328445524
up,mlp.up_proj,10,0.011422281109938764
up,mlp.up_proj,11,0.028760902006934957
up,mlp.up_proj,12,0.012543274398634622
up,mlp.up_proj,13,0.009678352385940961
up,mlp.up_proj,14,0.030429712656476406
up,mlp.up_proj,15,0.012774172521545892
down,mlp.down_proj,0,0.01226684314902657
down,mlp.down_proj,1,-0.009745281808916966
down,mlp.down_proj,2,0.013404378743547543
down,mlp.down_proj,3,0.0128740509969625
down,mlp.down_proj,4,0.003927166672528618
down,mlp.down_proj,5,0.0015541265992460413
down,mlp.down_proj,6,-0.0007547926097370489
down,mlp.down_proj,7,-0.0017249531859469757
down,mlp.down_proj,8,0.002266214101461
down,mlp.down_proj,9,0.00041912235358917575
down,mlp.down_proj,10,0.0070930760258090825
down,mlp.down_proj,11,0.023780039582574894
down,mlp.down_proj,12,0.025389069977841978
down,mlp.down_proj,13,0.03682710682600524
down,mlp.down_proj,14,0.03917177927363059
down,mlp.down_proj,15,0.03865313252948221
